feature,importance,importance_std,rank
FrameSR_Hist1,0.0014778203806913059,0.00118573005038129,272
FrameZCR_Hist4,0.0014770983104635022,0.0011593531971833366,273
FrameSNR_Kurt,0.0014769537550358856,0.0012620789704218573,274
FrameSHR_IQR,0.0014744768637019012,0.0012237108159437503,275
FrameE_Hist7,0.0014719929338595716,0.001562930786081089,276
FrameSS_Hist6,0.0014718316024813834,0.0012397556142514953,277
CPP_Std,0.0014644220246277124,0.0012969232268643604,278
FrameSR_Hist5,0.001459666253561629,0.0013423234332577455,279
FrameSE_Median,0.001459281338464027,0.0019218734148323685,280
FrameF0_Skew,0.0014579791782264463,0.0013184626559753778,281
FrameMFCCVar_Hist4,0.0014578618578086314,0.0015335134433098526,282
FrameSNR_Skew,0.0014578102489194887,0.0012067746070527398,283
Tremor_Freq,0.0014575598812849617,0.0011071580375307869,284
FrameSHR_P5,0.0014535525768142334,0.0013173929610355067,285
FrameSKurt_Hist2,0.001450798306934246,0.0013340825195471,286
FrameMFCCVar_Hist7,0.0014505609411312027,0.001226325944799106,287
FrameHNR_Kurt,0.0014430441282798434,0.0012320810997947646,288
FrameSR_Hist2,0.0014413989305203444,0.0011774474421763473,289
FrameMFCCVar_Hist5,0.0014402911772031966,0.0013494948822338135,290
FrameSE_Hist7,0.0014399975947263033,0.0015347589372007846,291
FrameSHR_Hist3,0.0014366339040627796,0.0012188917566276713,292
FrameSSkew_Hist6,0.001435505049838246,0.0012606403103842905,293
FrameSS_Hist5,0.0014336159003950318,0.0011733224510025594,294
FrameSR_P95,0.0014325167231967043,0.0015888279419857213,295
FrameSF_Median,0.0014323094757089786,0.0014935933973840312,296
SpectralCrest,0.0014315776040875635,0.0011127675673087585,297
FrameSHR_Hist8,0.0014306535547456139,0.0012090457495960584,298
SpectralKurtosis,0.0014294603152999034,0.0012009731764187528,299
FrameSE_Hist5,0.0014282424991866926,0.0017141852417752058,300
FrameF0_IQR,0.0014235417848886412,0.0010632870334077104,301
FrameSBW_Mean,0.0014216944541399757,0.0013581318154134655,302
FrameSBW_Hist6,0.0014190004811557696,0.0011166876525978665,303
FrameSKurt_Hist0,0.0014165342174377806,0.0014899828646425847,304
F2_Mean,0.001413910489145733,0.0011757396571668802,305
FrameSBW_Hist5,0.0014136863095148683,0.001087185013153593,306
FrameSBW_Hist8,0.0014127001576986625,0.0012187154086804152,307
FrameAC_P5,0.0014108655573998932,0.0012274359437289438,308
FramePC_Hist1,0.0014078648077058462,0.0011594822578576906,309
FrameSKurt_Hist3,0.0014058541897092366,0.0014643815273445793,310
FramePC_Hist6,0.001404161560811418,0.0015011547035192218,311
FrameSBW_Hist4,0.001396881295555329,0.0011798322164672842,312
FrameSR_Hist3,0.0013967136806845126,0.0011621338559999726,313
FrameSCF_P95,0.0013966706935709596,0.0011077198214279368,314
F2_BW,0.0013957407015262988,0.001045257889831845,315
FrameSBW_Skew,0.0013939359634895265,0.001160092154843412,316
AVQI,0.001392133953222271,0.0011858607490094182,317
HRF,0.0013920155060837204,0.0013342094534795157,318
FrameSHR_Hist4,0.0013899975276789696,0.0012641393871771862,319
FrameGNE_Hist7,0.0013888009150382907,0.001189694741198442,320
FrameMFCCVar_Hist8,0.0013865744447736383,0.0010977383811759435,321
FrameZCR_Hist0,0.0013849162212553384,0.0012717619390460303,322
MusicalNoiseLevel,0.0013815897838651578,0.0013429803067074668,323
